model_name,task_type,fold_id,params_tried,MSE,RMSE,MAE,R2 Score
KNNRegressor,regression,1,{'k': 3},4.612591882576418e-05,0.006791606498153745,0.0012564684249306269,0.9653153099145291
KNNRegressor,regression,2,{'k': 3},3.563028932534359e-05,0.005969111267629679,0.001189581050415186,0.9723853880681094
KNNRegressor,regression,3,{'k': 3},4.066780896294599e-05,0.006377131719115263,0.0012407575989113791,0.9684752362486844
KNNRegressor,regression,4,{'k': 3},2.9319003725265666e-05,0.005414702551873526,0.0012065585409634827,0.9775556080158058
KNNRegressor,regression,5,{'k': 3},2.7011596552786722e-05,0.005197268181726504,0.0011892579728438953,0.979686709560737
KNNRegressor,regression,1,{'k': 5},4.586393703941295e-05,0.006772291860176505,0.0012194213910271918,0.9655123088534978
KNNRegressor,regression,2,{'k': 5},3.45889143721192e-05,0.005881234085812195,0.001165425047429306,0.973192486908826
KNNRegressor,regression,3,{'k': 5},3.797399952213039e-05,0.006162304724867993,0.0011959388986570825,0.9705634162706311
KNNRegressor,regression,4,{'k': 5},3.203572021855727e-05,0.00566001062000393,0.0011916861248240395,0.9754758971751261
KNNRegressor,regression,5,{'k': 5},2.6743422922479736e-05,0.00517140434722327,0.0011524673965016125,0.9798883817880684
KNNRegressor,regression,1,{'k': 7},4.471897622911232e-05,0.0066872248525911195,0.0012018667572659062,0.9663732697162027
KNNRegressor,regression,2,{'k': 7},3.3623645217883814e-05,0.005798589933585907,0.0011493436170730016,0.9739406013252048
KNNRegressor,regression,3,{'k': 7},3.6993954436877354e-05,0.00608226556776974,0.0011708558584378346,0.9713231250074945
KNNRegressor,regression,4,{'k': 7},3.085388415803738e-05,0.005554627274447619,0.0011735269334208136,0.9763806206797828
KNNRegressor,regression,5,{'k': 7},2.453024670494135e-05,0.004952801904471988,0.0011279762805469083,0.9815527369924071
KNNRegressor,regression,1,{'k': 9},4.467714811724577e-05,0.006684096656785102,0.0011983316575285953,0.966404722641887
KNNRegressor,regression,2,{'k': 9},3.3670652278592746e-05,0.005802641836146079,0.0011382986763276669,0.9739041693521808
KNNRegressor,regression,3,{'k': 9},3.645442325817923e-05,0.006037749850580035,0.0011615183046105749,0.9717413573484703
KNNRegressor,regression,4,{'k': 9},3.246618222857267e-05,0.005697910338762156,0.001183612074374063,0.9751463683078555
KNNRegressor,regression,5,{'k': 9},2.5963959366961204e-05,0.0050954842131990955,0.00112602821375234,0.980474554825235
